date,month,year,APN,ANT,AST,BRT,BRV,BRD,BTH,BLB,BOC,BMP,BQC,BWN,BWS,BDP,BIO,BUC,BCL,BTV,CCH,CVE,CMN,CFW,ALM,CPL,CSI,CAS,SLW,CHB,CHY,JNN,CLK,CLA,CGS,CMB,CTG,CYC,MNC,CNV,CUY,MHV,DLV,DMV,DNP,DON,DNL,DWN,EPK,ELC,ENR,ENG,FLR,FOL,FRL,FMD,FRD,MIL,GLK,GBR,GBL,PWL,GNT,DAV,HWE,HNS,HID,MEA,HNT,ICH,INL,MMW,INV,IRC,ISB,JCK,ATN,KNT,KRH,KES,LFY,LGT,HMT,HNN,HDG,LVD,TAH,LVY,LRA,LEW,LNG,LGV,CRW,LON,LSB,LVQ,LWB,CRY,HHL,LYS,SWB,MPL,EDN,MRT,MAT,MHW,MCO,MCS,MMR,MDO,BER,MOR,MRR,NCM,NAT,BUL,MCR,NHG,NML,NCA,ONF,HTH,ORO,LOT,PAR,HVS,PRR,PLL,PNF,PT6,PT7,BIT,PRS,PYM,QUL,RLC,RDN,RLF,RLL,RTD,SDB,SLN,SLS,SNN,SAT,SGB,SNL,SLF,LUS,SPB,SVT,PRU,SGC,SFL,SHA,SHV,SIV,SKN,SLB,SLC,JNK,SOL,SLJ,SLK,SPM,STP,STG,SCC,STD,SW3,TRM,TAB,TMT,TNM,CLE,TUL,TLC,TWT,UNV,KLM,USL,VIL,TAE,VLP,WRS,WHR,WHI,WSN
2010-01,1,2010,8891,14928,,27146,54808,21045,,39233,4760,,,29354,18891,16010,56360,24827,63609,37530,154101,40920,286420,60620,811274,14083,194127,263392,60656,8360,249859,8142,60480,184801,5956,,27640,15150,64775,27831,2088,1735600,38779,385482,1490556,8284,3593,15484,48590,63879,16726,64901,10315,321671,8859,45878,20738,241400,7411,24646,5326,13991000,36790,42398,33390,8633,28802,11493000,38932,24321,14965,5207,45956,6052,123361,32757,142505,21725,,20487,,,7862,28523,18324,10451,4840,3026,54586,14038,8559,42722,122500,36843,19621,77450,7073,48557,83025,3934,3060,61764,15827,791,472,157178,18365,9173,5169,15628,1115220,6196,3752,140270,7904,581557,447725,82806,1219849,22430,45263,268193,1190456,33233,173770,597300,63629,55645,415858,11813,32711,33507,9626,166770,,11083,19536,4169,52800,49554,4965,20314,25359,17682,46130,18985,1159828,592630,567198,27020,38284,32350,19070,38343,2596882,91786,1641,37093,10942,17624,29232,,10572,5464,92880,108023,38940,9146,4857,14233,12621,36326,59282,5870,1040368,59750,18540,,166114,204199,28210,23242,68173,,245675,21247,229746,62021
2010-02,2,2010,8891,15540,,29999,56954,23566,,45243,5994,,,27896,18005,20200,56720,36779,61408,39810,166379,41657,303945,81760,846844,12445,199026,280345,70676,8570,258087,8956,65230,236557,6743,,29238,13105,74692,31825,3763,1679900,41186,385897,1552889,8399,3733,20226,48812,68496,15779,68146,6457,418632,8879,42737,21261,305297,4985,29304,5337,13780191,35200,42864,30511,12106,42503,11780000,35836,25245,14271,5884,62100,5366,144538,33027,165505,27894,,21014,,,8542,31000,19719,9819,24300,3330,60352,14218,11532,45432,133100,38776,21129,79550,5163,51161,77145,3993,1948,63820,17750,825,976,168250,18383,9078,5493,14240,1166866,7047,4176,200346,7517,615691,500836,99914,1234122,22430,43697,272454,1385646,35140,168842,548000,65231,56211,504494,11773,31158,33597,10112,168190,,11762,25035,3088,56800,50623,4730,24841,16103,17682,47268,36201,1439270,745466,693804,29040,37841,39500,21657,42531,3380147,87122,779,37321,11352,22950,31659,,10572,4500,92567,104835,39086,21250,6108,18930,23000,36643,60766,1910,1173093,57402,25190,,160459,252166,29920,24925,50028,,253179,22178,211442,37959
2010-03,3,2010,8891,18250,,32115,60091,24556,,81652,12639,,,26799,29177,24730,59530,50472,65141,44757,175301,47605,325780,92230,882229,11285,199498,269525,70148,8950,245570,8999,72910,285065,8419,,28243,14620,83063,31168,2757,1676000,41056,384361,1645686,17988,4205,23171,48430,75300,20100,65666,6470,562043,9437,49385,23312,420986,2600,31582,5316,13696000,33630,45981,34060,13907,58297,11550000,32388,27330,14756,10911,76170,5614,169223,35146,183575,32257,,22683,,,9168,31000,20589,12823,42500,4234,61129,14023,13390,51400,133100,44107,20515,84280,5697,53988,81924,3990,2738,25132,20000,842,602,154080,18560,8611,5316,20540,1209300,8107,4191,237520,7409,684245,564811,121991,1267408,22430,51714,263256,1650006,36072,167580,563900,66743,56230,582712,13425,33021,33994,10268,167754,,11448,22036,2689,61699,49861,4400,23901,14640,17209,49221,39957,1715110,880797,834313,31900,37584,46328,22187,48243,3868648,92684,1369,36072,11442,39415,36072,,10552,3450,97832,95820,49830,7624,8062,19351,42492,48912,70759,1750,1302905,56127,30570,,182158,289129,32030,25608,35049,,248728,22924,213783,36670
2010-04,4,2010,8891,23210,,33355,63707,29476,,122874,23097,,,33800,62063,23330,59930,62226,72556,45366,178017,53326,350230,95840,932000,11485,199498,259891,70865,9290,229900,9061,78150,323921,8420,,40000,16580,103513,33877,1605,1697100,41135,382824,1744978,44569,6350,24800,48500,79418,23355,66563,8061,823244,10700,60841,27071,349702,1860,36063,5316,13816000,33150,53749,31600,15222,70312,11313000,48888,27278,15407,18561,95337,7962,212043,42700,193205,32895,,21659,,,9550,31000,20192,13990,80120,4764,61615,14180,16204,63869,121700,44220,21768,79410,9262,55506,101668,4003,7511,43314,20000,850,598,128386,24536,8773,5329,24798,1253436,8716,3993,259730,7584,807019,646423,145289,1276719,22430,43489,265368,2113554,36072,178590,591800,65816,67343,671547,13736,32775,33789,15334,168575,,11500,25209,4310,66700,50402,4230,23887,32800,17919,49709,40000,1668806,855739,813067,35800,37475,49995,26193,48547,4390774,91804,2496,38001,8538,56141,41117,,10572,2490,111349,100589,49060,30355,8900,19273,104720,45854,69341,2580,1486925,59032,32190,,204396,327086,34140,25960,35759,,250518,22924,228588,41880
2010-05,5,2010,8891,23012,,33662,66402,75087,,127553,28660,,,47700,104301,20740,59700,66455,86317,40583,175844,49104,352370,94500,1009119,13330,197152,247005,72686,9260,223552,9061,66740,290268,9494,,86924,23244,105077,34588,898,1679600,40063,396515,1902345,58344,7810,25237,48280,80673,24000,65433,27445,905419,13600,90178,29348,192216,3939,35162,5285,14402000,35100,57525,26870,14600,66900,10987000,56945,32081,15230,21245,99227,6906,254486,54100,194685,32261,,21732,,,9668,31000,18970,14626,121400,6704,90373,14053,19044,81890,114400,49517,21695,78350,38447,55125,147959,4100,17644,121370,20000,814,583,123986,24751,8332,5549,21967,1239639,8842,3506,254615,8148,902823,754124,147717,1290558,22430,51420,205400,2493582,36385,193600,596100,63734,71771,728160,14347,30216,33484,25970,169927,,11239,24568,11900,66400,48132,4410,23541,56000,17350,50113,36455,1447635,759913,687722,36440,37219,51328,25194,48525,4464744,102831,4197,41545,8949,56378,41156,,10445,2090,147218,121633,46830,38611,9338,19000,144055,43337,67178,1860,1527583,65560,30840,,241494,349174,34540,25736,50508,,245121,22591,234908,45136
2010-06,6,2010,8132,22416,,33431,65551,97255,,117761,30780,,,68500,133607,38900,57840,62711,103264,42433,171900,42308,392500,92410,1062881,22240,194127,249928,70195,9100,272982,8967,61060,243794,8709,,117938,11965,104285,34278,865,1725700,39541,428177,2009383,62919,9504,28892,47910,79605,27210,64356,59157,923096,14200,116335,27914,475269,17500,30178,4810,15864183,44360,56679,26500,12068,62246,10556000,87174,42595,17475,20370,94098,17110,331267,68316,190278,30271,,22439,,,9579,30400,17231,14700,198000,7758,58168,13793,15531,87092,122100,68384,21349,83732,51347,52991,199655,4962,18229,122529,19918,788,588,123717,27316,8645,5549,24740,1202739,8592,3520,225995,8040,923919,951044,139932,1419401,22096,50379,350355,2719225,36700,198680,592400,63053,72635,905201,13872,32634,33597,25651,164308,,11031,24448,14800,66100,45709,7511,22697,135774,17444,49709,27891,1185237,582005,603232,35190,36709,51513,24109,47772,4279177,118367,8471,41501,11667,51399,40872,,10038,8040,188161,149459,47890,40807,9381,18712,180601,41148,64804,2330,1766229,64661,29556,,262406,354703,34390,25285,100801,,239621,21974,238535,122544
2010-07,7,2010,7584,20957,,33012,64274,96280,,94086,30780,,,65100,113054,39510,56350,49427,102311,38995,167514,41012,362030,71190,1018224,21922,191132,255517,70752,8880,270806,8205,52500,179387,7645,,110703,11503,100235,34329,768,1714400,38005,468869,1903600,55847,9367,21706,46469,76637,25030,62819,56281,753671,12300,104410,25896,423900,16801,20220,3902,15596000,47170,53937,33020,9368,46419,10357000,87329,42672,17496,14556,86995,21064,294060,60500,181268,29403,,22865,,,9110,29692,16059,14573,174900,7507,54855,14479,15269,86613,126700,61492,20958,89000,43524,52009,191527,4810,17757,115453,18793,786,585,125307,29483,8391,5397,16750,1153190,8187,4230,200147,8261,783914,887559,128469,1372374,20258,54293,354500,2408098,36385,192400,591800,62635,66113,712011,14284,32775,33507,22449,167025,,10600,24852,14402,62100,43823,8120,21816,129106,17967,49221,28675,903601,387107,516494,32770,36203,50959,23054,44240,3841140,122985,7966,38517,11321,39057,38486,,9540,12857,177058,145200,47546,23209,9295,17393,89592,43951,67674,2930,1733805,64674,29556,,245383,275047,32970,24779,118468,,232469,21407,236751,114046
2010-08,8,2010,6754,19236,,32898,62171,84059,,63173,30326,,,60381,91090,26160,55350,45827,89953,41269,158882,40280,339490,41610,945076,20563,188166,258868,70544,8710,263537,6983,44930,119979,6683,,107714,11061,94758,34082,686,1670100,36823,512267,1755379,39301,8821,13973,44990,73681,19149,63709,45596,656485,8289,90746,23247,314279,16943,11790,3282,15371000,43510,51215,22850,6601,36255,10352000,87818,41713,17186,10825,79760,20788,211974,50379,171300,28325,,22260,,,8682,28908,14367,14407,102000,7029,52206,14292,14429,85284,108600,52508,20576,87270,36743,52500,172766,3483,16687,71458,17991,805,561,115340,27687,8293,5438,18950,1112435,8009,4044,173574,8421,664341,782369,117353,1307388,18454,50646,321500,2040149,36340,191500,583900,61768,56725,459036,14284,32277,36281,19508,166184,,10120,24971,13879,59300,39203,7676,20776,117659,17824,48572,23054,774865,300958,473907,30550,36456,50078,21922,39054,3491704,91525,6664,39485,9600,20517,35627,,9054,12357,160160,137835,47050,7730,9096,15300,20811,42690,66847,2580,1642338,65708,29308,,216865,196382,31340,24268,94705,,225212,20850,238023,93968
2010-09,9,2010,5829,17711,,32152,60778,59764,,49793,20400,,,55264,80466,17610,53990,45320,78348,35949,152855,36289,317630,28130,886908,17744,185288,259734,69960,8580,253868,6006,41350,90938,5530,,85750,10665,89698,30501,646,1574800,36194,555379,1660075,37972,8270,9209,43840,70217,18157,65914,32492,624242,7260,82736,22038,247466,16887,5622,2680,15266800,39840,49079,22940,3897,33594,10092000,88207,40590,16265,,75982,12384,170118,42934,161653,27538,,22118,,,8292,28238,13435,14267,57070,6559,49976,14390,13357,,89700,45620,20323,75000,,53365,154763,,,38424,16060,801,558,105968,17287,8453,5465,18698,1083443,7679,3582,150440,8087,625263,680108,108938,1275964,17088,48411,292760,1755185,36161,186940,560200,61200,47856,356716,13279,31557,33823,13500,164308,,9813,24307,,49700,34852,6686,19857,111516,17919,48166,15256,788588,373878,414710,28690,36383,40981,20757,35498,3318779,79435,4786,38748,13232,13838,33479,,8663,11156,139000,131600,35460,5720,8970,13360,10109,49842,74078,3150,1557699,60745,27598,,184582,172807,30520,23850,90920,,218599,20343,237800,93050
2010-10,10,2010,5961,17040,,32042,60365,41612,,40574,15820,,,50232,75176,18280,53430,45278,72524,37799,149111,31375,280880,31980,853149,18552,184105,285714,66319,8510,250600,6118,38980,91346,3240,,72490,10368,73316,23882,646,1437000,37174,575385,1643481,48760,4055,11102,43560,70333,23727,63187,38907,601842,8677,78225,22020,210073,16470,5495,2410,15314800,41610,48841,25180,3235,34076,9971000,82180,34290,15209,5036,76221,14919,157106,38095,158063,26396,,19656,,,8103,27815,13499,14515,80120,5255,46359,13764,12090,54862,84000,51157,20123,69000,30144,52377,162603,2524,15084,43314,16588,804,607,107560,20312,8785,4986,15470,1071321,7584,4027,132820,7688,618636,649066,105413,1280677,17112,47493,319412,1701643,37651,170230,602200,60736,50815,351410,14238,32309,36269,10000,169992,,9062,13765,12344,64122,36336,6616,19201,103730,18014,47514,13928,911061,474586,436475,28060,36637,23700,20022,35437,3272489,76453,3784,39062,10250,23510,32280,,8264,10342,132392,134321,38270,5926,9012,12549,14915,39011,63930,2790,1494595,54513,11442,,199095,188005,30640,22986,93058,,216480,19881,218081,83000
